"","DATE","ATM","Cash"
"1",39934,"ATM1",96
"2",39934,"ATM2",107
"3",39935,"ATM1",82
"4",39935,"ATM2",89
"5",39936,"ATM1",85
"6",39936,"ATM2",90
"7",39937,"ATM1",90
"8",39937,"ATM2",55
"9",39938,"ATM1",99
"10",39938,"ATM2",79
"11",39939,"ATM1",88
"12",39939,"ATM2",19
"13",39940,"ATM1",8
"14",39940,"ATM2",2
"15",39941,"ATM1",104
"16",39941,"ATM2",103
"17",39942,"ATM1",87
"18",39942,"ATM2",107
"19",39943,"ATM1",93
"20",39943,"ATM2",118
"21",39944,"ATM1",86
"22",39944,"ATM2",75
"23",39945,"ATM1",111
"24",39945,"ATM2",111
"25",39946,"ATM1",75
"26",39946,"ATM2",25
"27",39947,"ATM1",6
"28",39947,"ATM2",16
"29",39948,"ATM1",102
"30",39948,"ATM2",137
"31",39949,"ATM1",73
"32",39949,"ATM2",95
"33",39950,"ATM1",92
"34",39950,"ATM2",103
"35",39951,"ATM1",82
"36",39951,"ATM2",80
"37",39952,"ATM1",86
"38",39952,"ATM2",118
"39",39953,"ATM1",73
"40",39953,"ATM2",30
"41",39954,"ATM1",20
"42",39954,"ATM2",7
"43",39955,"ATM1",100
"44",39955,"ATM2",118
"45",39956,"ATM1",93
"46",39956,"ATM2",104
"47",39957,"ATM1",90
"48",39957,"ATM2",59
"49",39958,"ATM1",94
"50",39958,"ATM2",40
"51",39959,"ATM1",98
"52",39959,"ATM2",106
"53",39960,"ATM1",73
"54",39960,"ATM2",18
"55",39961,"ATM1",10
"56",39961,"ATM2",9
"57",39962,"ATM1",97
"58",39962,"ATM2",136
"59",39963,"ATM1",102
"60",39963,"ATM2",118
"61",39964,"ATM1",85
"62",39964,"ATM2",64
"63",39965,"ATM1",85
"64",39965,"ATM2",77
"65",39966,"ATM1",108
"66",39966,"ATM2",133
"67",39967,"ATM1",94
"68",39967,"ATM2",45
"69",39968,"ATM1",14
"70",39968,"ATM2",14
"71",39969,"ATM1",3
"72",39969,"ATM2",20
"73",39970,"ATM1",96
"74",39970,"ATM2",147
"75",39971,"ATM1",109
"76",39971,"ATM2",105
"77",39972,"ATM1",96
"78",39972,"ATM2",132
"79",39973,"ATM1",145
"80",39973,"ATM2",93
"81",39974,"ATM1",81
"82",39974,"ATM2",26
"83",39975,"ATM1",16
"84",39975,"ATM2",7
"85",39976,"ATM1",142
"86",39976,"ATM2",112
"87",39977,"ATM1",NA
"88",39977,"ATM2",91
"89",39978,"ATM1",120
"90",39978,"ATM2",72
"91",39979,"ATM1",106
"92",39979,"ATM2",66
"93",39980,"ATM1",NA
"94",39980,"ATM2",82
"95",39981,"ATM1",108
"96",39981,"ATM2",24
"97",39982,"ATM1",21
"98",39982,"ATM2",NA
"99",39983,"ATM1",140
"100",39983,"ATM2",134
"101",39984,"ATM1",110
"102",39984,"ATM2",95
"103",39985,"ATM1",115
"104",39985,"ATM2",82
"105",39986,"ATM1",NA
"106",39986,"ATM2",90
"107",39987,"ATM1",108
"108",39987,"ATM2",99
"109",39988,"ATM1",66
"110",39988,"ATM2",NA
"111",39989,"ATM1",13
"112",39989,"ATM2",3
"113",39990,"ATM1",99
"114",39990,"ATM2",117
"115",39991,"ATM1",105
"116",39991,"ATM2",53
"117",39992,"ATM1",104
"118",39992,"ATM2",44
"119",39993,"ATM1",98
"120",39993,"ATM2",56
"121",39994,"ATM1",110
"122",39994,"ATM2",110
"123",39995,"ATM1",79
"124",39995,"ATM2",36
"125",39996,"ATM1",16
"126",39996,"ATM2",12
"127",39997,"ATM1",110
"128",39997,"ATM2",128
"129",39998,"ATM1",96
"130",39998,"ATM2",72
"131",39999,"ATM1",114
"132",39999,"ATM2",122
"133",40000,"ATM1",126
"134",40000,"ATM2",100
"135",40001,"ATM1",126
"136",40001,"ATM2",108
"137",40002,"ATM1",73
"138",40002,"ATM2",25
"139",40003,"ATM1",4
"140",40003,"ATM2",6
"141",40004,"ATM1",19
"142",40004,"ATM2",22
"143",40005,"ATM1",114
"144",40005,"ATM2",135
"145",40006,"ATM1",98
"146",40006,"ATM2",69
"147",40007,"ATM1",97
"148",40007,"ATM2",52
"149",40008,"ATM1",114
"150",40008,"ATM2",81
"151",40009,"ATM1",78
"152",40009,"ATM2",27
"153",40010,"ATM1",19
"154",40010,"ATM2",4
"155",40011,"ATM1",102
"156",40011,"ATM2",147
"157",40012,"ATM1",94
"158",40012,"ATM2",102
"159",40013,"ATM1",108
"160",40013,"ATM2",83
"161",40014,"ATM1",91
"162",40014,"ATM2",55
"163",40015,"ATM1",86
"164",40015,"ATM2",74
"165",40016,"ATM1",78
"166",40016,"ATM2",22
"167",40017,"ATM1",16
"168",40017,"ATM2",4
"169",40018,"ATM1",114
"170",40018,"ATM2",104
"171",40019,"ATM1",115
"172",40019,"ATM2",81
"173",40020,"ATM1",108
"174",40020,"ATM2",61
"175",40021,"ATM1",102
"176",40021,"ATM2",70
"177",40022,"ATM1",129
"178",40022,"ATM2",126
"179",40023,"ATM1",79
"180",40023,"ATM2",33
"181",40024,"ATM1",13
"182",40024,"ATM2",7
"183",40025,"ATM1",103
"184",40025,"ATM2",126
"185",40026,"ATM1",90
"186",40026,"ATM2",92
"187",40027,"ATM1",68
"188",40027,"ATM2",81
"189",40028,"ATM1",85
"190",40028,"ATM2",49
"191",40029,"ATM1",99
"192",40029,"ATM2",146
"193",40030,"ATM1",86
"194",40030,"ATM2",79
"195",40031,"ATM1",13
"196",40031,"ATM2",37
"197",40032,"ATM1",116
"198",40032,"ATM2",136
"199",40033,"ATM1",105
"200",40033,"ATM2",111
"201",40034,"ATM1",123
"202",40034,"ATM2",78
"203",40035,"ATM1",114
"204",40035,"ATM2",57
"205",40036,"ATM1",127
"206",40036,"ATM2",106
"207",40037,"ATM1",111
"208",40037,"ATM2",38
"209",40038,"ATM1",34
"210",40038,"ATM2",15
"211",40039,"ATM1",151
"212",40039,"ATM2",119
"213",40040,"ATM1",110
"214",40040,"ATM2",110
"215",40041,"ATM1",115
"216",40041,"ATM2",68
"217",40042,"ATM1",112
"218",40042,"ATM2",60
"219",40043,"ATM1",132
"220",40043,"ATM2",92
"221",40044,"ATM1",94
"222",40044,"ATM2",22
"223",40045,"ATM1",24
"224",40045,"ATM2",11
"225",40046,"ATM1",122
"226",40046,"ATM2",121
"227",40047,"ATM1",104
"228",40047,"ATM2",89
"229",40048,"ATM1",128
"230",40048,"ATM2",62
"231",40049,"ATM1",120
"232",40049,"ATM2",79
"233",40050,"ATM1",174
"234",40050,"ATM2",83
"235",40051,"ATM1",96
"236",40051,"ATM2",31
"237",40052,"ATM1",13
"238",40052,"ATM2",4
"239",40053,"ATM1",121
"240",40053,"ATM2",96
"241",40054,"ATM1",133
"242",40054,"ATM2",50
"243",40055,"ATM1",118
"244",40055,"ATM2",52
"245",40056,"ATM1",91
"246",40056,"ATM2",56
"247",40057,"ATM1",120
"248",40057,"ATM2",104
"249",40058,"ATM1",88
"250",40058,"ATM2",27
"251",40059,"ATM1",19
"252",40059,"ATM2",13
"253",40060,"ATM1",150
"254",40060,"ATM2",107
"255",40061,"ATM1",144
"256",40061,"ATM2",125
"257",40062,"ATM1",121
"258",40062,"ATM2",103
"259",40063,"ATM1",105
"260",40063,"ATM2",42
"261",40064,"ATM1",133
"262",40064,"ATM2",90
"263",40065,"ATM1",109
"264",40065,"ATM2",29
"265",40066,"ATM1",18
"266",40066,"ATM2",8
"267",40067,"ATM1",1
"268",40067,"ATM2",2
"269",40068,"ATM1",105
"270",40068,"ATM2",84
"271",40069,"ATM1",112
"272",40069,"ATM2",62
"273",40070,"ATM1",82
"274",40070,"ATM2",77
"275",40071,"ATM1",111
"276",40071,"ATM2",78
"277",40072,"ATM1",79
"278",40072,"ATM2",25
"279",40073,"ATM1",13
"280",40073,"ATM2",8
"281",40074,"ATM1",112
"282",40074,"ATM2",113
"283",40075,"ATM1",99
"284",40075,"ATM2",71
"285",40076,"ATM1",140
"286",40076,"ATM2",94
"287",40077,"ATM1",110
"288",40077,"ATM2",59
"289",40078,"ATM1",180
"290",40078,"ATM2",89
"291",40079,"ATM1",73
"292",40079,"ATM2",18
"293",40080,"ATM1",7
"294",40080,"ATM2",6
"295",40081,"ATM1",106
"296",40081,"ATM2",115
"297",40082,"ATM1",103
"298",40082,"ATM2",81
"299",40083,"ATM1",93
"300",40083,"ATM2",61
"301",40084,"ATM1",96
"302",40084,"ATM2",71
"303",40085,"ATM1",117
"304",40085,"ATM2",69
"305",40086,"ATM1",80
"306",40086,"ATM2",36
"307",40087,"ATM1",14
"308",40087,"ATM2",14
"309",40088,"ATM1",120
"310",40088,"ATM2",104
"311",40089,"ATM1",91
"312",40089,"ATM2",73
"313",40090,"ATM1",96
"314",40090,"ATM2",86
"315",40091,"ATM1",74
"316",40091,"ATM2",85
"317",40092,"ATM1",108
"318",40092,"ATM2",126
"319",40093,"ATM1",73
"320",40093,"ATM2",31
"321",40094,"ATM1",13
"322",40094,"ATM2",9
"323",40095,"ATM1",93
"324",40095,"ATM2",114
"325",40096,"ATM1",94
"326",40096,"ATM2",78
"327",40097,"ATM1",76
"328",40097,"ATM2",45
"329",40098,"ATM1",111
"330",40098,"ATM2",60
"331",40099,"ATM1",88
"332",40099,"ATM2",91
"333",40100,"ATM1",76
"334",40100,"ATM2",22
"335",40101,"ATM1",9
"336",40101,"ATM2",7
"337",40102,"ATM1",87
"338",40102,"ATM2",75
"339",40103,"ATM1",105
"340",40103,"ATM2",66
"341",40104,"ATM1",78
"342",40104,"ATM2",64
"343",40105,"ATM1",67
"344",40105,"ATM2",51
"345",40106,"ATM1",90
"346",40106,"ATM2",94
"347",40107,"ATM1",68
"348",40107,"ATM2",23
"349",40108,"ATM1",9
"350",40108,"ATM2",4
"351",40109,"ATM1",78
"352",40109,"ATM2",127
"353",40110,"ATM1",74
"354",40110,"ATM2",61
"355",40111,"ATM1",74
"356",40111,"ATM2",0
"357",40112,"ATM1",60
"358",40112,"ATM2",95
"359",40113,"ATM1",75
"360",40113,"ATM2",79
"361",40114,"ATM1",61
"362",40114,"ATM2",38
"363",40115,"ATM1",9
"364",40115,"ATM2",8
"365",40116,"ATM1",90
"366",40116,"ATM2",119
"367",40117,"ATM1",86
"368",40117,"ATM2",57
"369",40118,"ATM1",86
"370",40118,"ATM2",58
"371",40119,"ATM1",79
"372",40119,"ATM2",80
"373",40120,"ATM1",90
"374",40120,"ATM2",82
"375",40121,"ATM1",80
"376",40121,"ATM2",49
"377",40122,"ATM1",21
"378",40122,"ATM2",16
"379",40123,"ATM1",93
"380",40123,"ATM2",116
"381",40124,"ATM1",104
"382",40124,"ATM2",61
"383",40125,"ATM1",109
"384",40125,"ATM2",59
"385",40126,"ATM1",88
"386",40126,"ATM2",80
"387",40127,"ATM1",96
"388",40127,"ATM2",86
"389",40128,"ATM1",70
"390",40128,"ATM2",23
"391",40129,"ATM1",15
"392",40129,"ATM2",7
"393",40130,"ATM1",73
"394",40130,"ATM2",91
"395",40131,"ATM1",94
"396",40131,"ATM2",57
"397",40132,"ATM1",108
"398",40132,"ATM2",58
"399",40133,"ATM1",73
"400",40133,"ATM2",61
"401",40134,"ATM1",87
"402",40134,"ATM2",77
"403",40135,"ATM1",75
"404",40135,"ATM2",20
"405",40136,"ATM1",10
"406",40136,"ATM2",5
"407",40137,"ATM1",92
"408",40137,"ATM2",132
"409",40138,"ATM1",87
"410",40138,"ATM2",49
"411",40139,"ATM1",74
"412",40139,"ATM2",57
"413",40140,"ATM1",73
"414",40140,"ATM2",68
"415",40141,"ATM1",93
"416",40141,"ATM2",80
"417",40142,"ATM1",66
"418",40142,"ATM2",31
"419",40143,"ATM1",18
"420",40143,"ATM2",3
"421",40144,"ATM1",99
"422",40144,"ATM2",85
"423",40145,"ATM1",94
"424",40145,"ATM2",53
"425",40146,"ATM1",136
"426",40146,"ATM2",46
"427",40147,"ATM1",6
"428",40147,"ATM2",2
"429",40148,"ATM1",140
"430",40148,"ATM2",113
"431",40149,"ATM1",73
"432",40149,"ATM2",22
"433",40150,"ATM1",9
"434",40150,"ATM2",5
"435",40151,"ATM1",140
"436",40151,"ATM2",112
"437",40152,"ATM1",103
"438",40152,"ATM2",59
"439",40153,"ATM1",110
"440",40153,"ATM2",72
"441",40154,"ATM1",90
"442",40154,"ATM2",77
"443",40155,"ATM1",135
"444",40155,"ATM2",85
"445",40156,"ATM1",67
"446",40156,"ATM2",27
"447",40157,"ATM1",12
"448",40157,"ATM2",1
"449",40158,"ATM1",109
"450",40158,"ATM2",91
"451",40159,"ATM1",84
"452",40159,"ATM2",36
"453",40160,"ATM1",92
"454",40160,"ATM2",46
"455",40161,"ATM1",84
"456",40161,"ATM2",100
"457",40162,"ATM1",118
"458",40162,"ATM2",73
"459",40163,"ATM1",68
"460",40163,"ATM2",22
"461",40164,"ATM1",14
"462",40164,"ATM2",9
"463",40165,"ATM1",90
"464",40165,"ATM2",117
"465",40166,"ATM1",92
"466",40166,"ATM2",44
"467",40167,"ATM1",93
"468",40167,"ATM2",44
"469",40168,"ATM1",85
"470",40168,"ATM2",78
"471",40169,"ATM1",93
"472",40169,"ATM2",89
"473",40170,"ATM1",70
"474",40170,"ATM2",33
"475",40171,"ATM1",13
"476",40171,"ATM2",5
"477",40172,"ATM1",90
"478",40172,"ATM2",102
"479",40173,"ATM1",91
"480",40173,"ATM2",68
"481",40174,"ATM1",102
"482",40174,"ATM2",64
"483",40175,"ATM1",97
"484",40175,"ATM2",81
"485",40176,"ATM1",42
"486",40176,"ATM2",9
"487",40177,"ATM1",2
"488",40177,"ATM2",2
"489",40178,"ATM1",14
"490",40178,"ATM2",2
"491",40179,"ATM1",132
"492",40179,"ATM2",117
"493",40180,"ATM1",108
"494",40180,"ATM2",56
"495",40181,"ATM1",120
"496",40181,"ATM2",55
"497",40182,"ATM1",120
"498",40182,"ATM2",112
"499",40183,"ATM1",90
"500",40183,"ATM2",100
"501",40184,"ATM1",48
"502",40184,"ATM2",17
"503",40185,"ATM1",15
"504",40185,"ATM2",7
"505",40186,"ATM1",86
"506",40186,"ATM2",49
"507",40187,"ATM1",109
"508",40187,"ATM2",96
"509",40188,"ATM1",115
"510",40188,"ATM2",47
"511",40189,"ATM1",123
"512",40189,"ATM2",107
"513",40190,"ATM1",123
"514",40190,"ATM2",93
"515",40191,"ATM1",60
"516",40191,"ATM2",27
"517",40192,"ATM1",22
"518",40192,"ATM2",9
"519",40193,"ATM1",81
"520",40193,"ATM2",78
"521",40194,"ATM1",98
"522",40194,"ATM2",47
"523",40195,"ATM1",94
"524",40195,"ATM2",31
"525",40196,"ATM1",76
"526",40196,"ATM2",91
"527",40197,"ATM1",96
"528",40197,"ATM2",77
"529",40198,"ATM1",72
"530",40198,"ATM2",22
"531",40199,"ATM1",12
"532",40199,"ATM2",1
"533",40200,"ATM1",91
"534",40200,"ATM2",125
"535",40201,"ATM1",74
"536",40201,"ATM2",53
"537",40202,"ATM1",104
"538",40202,"ATM2",37
"539",40203,"ATM1",74
"540",40203,"ATM2",69
"541",40204,"ATM1",91
"542",40204,"ATM2",69
"543",40205,"ATM1",66
"544",40205,"ATM2",16
"545",40206,"ATM1",28
"546",40206,"ATM2",2
"547",40207,"ATM1",152
"548",40207,"ATM2",95
"549",40208,"ATM1",97
"550",40208,"ATM2",45
"551",40209,"ATM1",100
"552",40209,"ATM2",61
"553",40210,"ATM1",85
"554",40210,"ATM2",71
"555",40211,"ATM1",123
"556",40211,"ATM2",91
"557",40212,"ATM1",46
"558",40212,"ATM2",28
"559",40213,"ATM1",38
"560",40213,"ATM2",9
"561",40214,"ATM1",138
"562",40214,"ATM2",97
"563",40215,"ATM1",74
"564",40215,"ATM2",60
"565",40216,"ATM1",85
"566",40216,"ATM2",27
"567",40217,"ATM1",78
"568",40217,"ATM2",74
"569",40218,"ATM1",123
"570",40218,"ATM2",45
"571",40219,"ATM1",50
"572",40219,"ATM2",26
"573",40220,"ATM1",28
"574",40220,"ATM2",2
"575",40221,"ATM1",105
"576",40221,"ATM2",73
"577",40222,"ATM1",109
"578",40222,"ATM2",48
"579",40223,"ATM1",26
"580",40223,"ATM2",9
"581",40224,"ATM1",54
"582",40224,"ATM2",25
"583",40225,"ATM1",105
"584",40225,"ATM2",58
"585",40226,"ATM1",179
"586",40226,"ATM2",110
"587",40227,"ATM1",125
"588",40227,"ATM2",94
"589",40228,"ATM1",84
"590",40228,"ATM2",25
"591",40229,"ATM1",99
"592",40229,"ATM2",101
"593",40230,"ATM1",110
"594",40230,"ATM2",77
"595",40231,"ATM1",80
