"","CaseSequence","YYYY-MMM","KWH"
"1",733,"1998-Jan",6862583
"2",734,"1998-Feb",5838198
"3",735,"1998-Mar",5420658
"4",736,"1998-Apr",5010364
"5",737,"1998-May",4665377
"6",738,"1998-Jun",6467147
"7",739,"1998-Jul",8914755
"8",740,"1998-Aug",8607428
"9",741,"1998-Sep",6989888
"10",742,"1998-Oct",6345620
"11",743,"1998-Nov",4640410
"12",744,"1998-Dec",4693479
"13",745,"1999-Jan",7183759
"14",746,"1999-Feb",5759262
"15",747,"1999-Mar",4847656
"16",748,"1999-Apr",5306592
"17",749,"1999-May",4426794
"18",750,"1999-Jun",5500901
"19",751,"1999-Jul",7444416
"20",752,"1999-Aug",7564391
"21",753,"1999-Sep",7899368
"22",754,"1999-Oct",5358314
"23",755,"1999-Nov",4436269
"24",756,"1999-Dec",4419229
"25",757,"2000-Jan",7068296
"26",758,"2000-Feb",5876083
"27",759,"2000-Mar",4807961
"28",760,"2000-Apr",4873080
"29",761,"2000-May",5050891
"30",762,"2000-Jun",7092865
"31",763,"2000-Jul",6862662
"32",764,"2000-Aug",7517830
"33",765,"2000-Sep",8912169
"34",766,"2000-Oct",5844352
"35",767,"2000-Nov",5041769
"36",768,"2000-Dec",6220334
"37",769,"2001-Jan",7538529
"38",770,"2001-Feb",6602448
"39",771,"2001-Mar",5779180
"40",772,"2001-Apr",4835210
"41",773,"2001-May",4787904
"42",774,"2001-Jun",6283324
"43",775,"2001-Jul",7855129
"44",776,"2001-Aug",8450717
"45",777,"2001-Sep",7112069
"46",778,"2001-Oct",5242535
"47",779,"2001-Nov",4461979
"48",780,"2001-Dec",5240995
"49",781,"2002-Jan",7099063
"50",782,"2002-Feb",6413429
"51",783,"2002-Mar",5839514
"52",784,"2002-Apr",5371604
"53",785,"2002-May",5439166
"54",786,"2002-Jun",5850383
"55",787,"2002-Jul",7039702
"56",788,"2002-Aug",8058748
"57",789,"2002-Sep",8245227
"58",790,"2002-Oct",5865014
"59",791,"2002-Nov",4908979
"60",792,"2002-Dec",5779958
"61",793,"2003-Jan",7256079
"62",794,"2003-Feb",6190517
"63",795,"2003-Mar",6120626
"64",796,"2003-Apr",4885643
"65",797,"2003-May",5296096
"66",798,"2003-Jun",6051571
"67",799,"2003-Jul",6900676
"68",800,"2003-Aug",8476499
"69",801,"2003-Sep",7791791
"70",802,"2003-Oct",5344613
"71",803,"2003-Nov",4913707
"72",804,"2003-Dec",5756193
"73",805,"2004-Jan",7584596
"74",806,"2004-Feb",6560742
"75",807,"2004-Mar",6526586
"76",808,"2004-Apr",4831688
"77",809,"2004-May",4878262
"78",810,"2004-Jun",6421614
"79",811,"2004-Jul",7307931
"80",812,"2004-Aug",7309774
"81",813,"2004-Sep",6690366
"82",814,"2004-Oct",5444948
"83",815,"2004-Nov",4824940
